Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill
04/01/2003 12:00:00 AM,643,1.774,$43.77
05/01/2003 12:00:00 AM,848,1.774,$66.01
06/01/2003 12:00:00 AM,1125,1.774,$92.58
07/01/2003 12:00:00 AM,1285,2.004,$110.89
08/01/2003 12:00:00 AM,1352,2.004,$117.47
09/01/2003 12:00:00 AM,1331,2.004,$115.41
10/01/2003 12:00:00 AM,954,2.004,$78.37
11/01/2003 12:00:00 AM,782,2.265,$58.44
12/01/2003 12:00:00 AM,762,2.265,$56.78
01/01/2004 12:00:00 AM,871,2.796,$70.44
02/01/2004 12:00:00 AM,773,2.796,$61.80
03/01/2004 12:00:00 AM,695,2.796,$54.92
04/01/2004 12:00:00 AM,687,2.796,$54.22
05/01/2004 12:00:00 AM,726,2.796,$61.72
06/01/2004 12:00:00 AM,1065,2.796,$97.71
07/01/2004 12:00:00 AM,1218,2.796,$113.95
08/01/2004 12:00:00 AM,1277,2.796,$120.22
09/01/2004 12:00:00 AM,1235,2.796,$115.76
10/01/2004 12:00:00 AM,1052,2.796,$96.33
11/01/2004 12:00:00 AM,873,2.796,$70.61
12/01/2004 12:00:00 AM,762,2.796,$60.83
01/01/2005 12:00:00 AM,850,2.796,$68.59
02/01/2005 12:00:00 AM,737,2.796,$58.62
03/01/2005 12:00:00 AM,708,2.796,$56.07
04/01/2005 12:00:00 AM,680,2.796,$53.60
05/01/2005 12:00:00 AM,706,2.796,$59.60
06/01/2005 12:00:00 AM,1125,2.796,$104.08
07/01/2005 12:00:00 AM,1435,2.796,$136.99
08/01/2005 12:00:00 AM,1324,2.796,$125.21
09/01/2005 12:00:00 AM,1430,2.796,$136.46
10/01/2005 12:00:00 AM,1218,2.796,$113.95
11/01/2005 12:00:00 AM,737,2.796,$58.62
12/01/2005 12:00:00 AM,820,2.796,$65.94
01/01/2006 12:00:00 AM,796,3.634,$70.50
02/01/2006 12:00:00 AM,665,3.634,$57.85
03/01/2006 12:00:00 AM,757,3.634,$66.73
04/01/2006 12:00:00 AM,768,3.634,$67.79
05/01/2006 12:00:00 AM,891,3.634,$86.71
06/01/2006 12:00:00 AM,1175,3.634,$119.23
07/01/2006 12:00:00 AM,1354,3.634,$139.74
08/01/2006 12:00:00 AM,1428,3.634,$148.21
09/01/2006 12:00:00 AM,1424,3.634,$147.75
10/01/2006 12:00:00 AM,1063,3.634,$106.41
11/01/2006 12:00:00 AM,730,3.634,$64.12
12/01/2006 12:00:00 AM,776,3.634,$68.57
01/01/2007 12:00:00 AM,909,3.343,$78.76
02/01/2007 12:00:00 AM,908,3.343,$78.67
03/01/2007 12:00:00 AM,731,3.343,$62.09
04/01/2007 12:00:00 AM,678,3.343,$57.13
05/01/2007 12:00:00 AM,765,3.343,$70.05
06/01/2007 12:00:00 AM,1036,3.044,$97.20
07/01/2007 12:00:00 AM,1163,3.044,$111.00
08/01/2007 12:00:00 AM,1232,3.044,$118.49
09/01/2007 12:00:00 AM,1314,3.044,$127.40
10/01/2007 12:00:00 AM,1092,3.044,$103.28
11/01/2007 12:00:00 AM,779,3.044,$64.26
12/01/2007 12:00:00 AM,798,3.044,$65.98
01/01/2008 12:00:00 AM,911,3.653,$81.77
02/01/2008 12:00:00 AM,814,3.653,$72.39
03/01/2008 12:00:00 AM,704,3.653,$61.75
04/01/2008 12:00:00 AM,684,3.653,$59.81
05/01/2008 12:00:00 AM,792,3.653,$75.52
06/01/2008 12:00:00 AM,1233,3.653,$126.11
07/01/2008 12:00:00 AM,1413,3.653,$146.76
08/01/2008 12:00:00 AM,1407,3.653,$146.08
09/01/2008 12:00:00 AM,1306,3.653,$134.49
10/01/2008 12:00:00 AM,1004,3.653,$99.84
11/01/2008 12:00:00 AM,686,3.653,$60.01
12/01/2008 12:00:00 AM,732,3.653,$64.46
01/01/2009 12:00:00 AM,906,3.653,$81.29
02/01/2009 12:00:00 AM,708,3.653,$62.13
03/01/2009 12:00:00 AM,653,3.653,$56.81
04/01/2009 12:00:00 AM,664,3.653,$57.88
05/01/2009 12:00:00 AM,794,3.653,$75.75
06/01/2009 12:00:00 AM,1115,3.653,$112.57
07/01/2009 12:00:00 AM,1511,3.653,$158.01
08/01/2009 12:00:00 AM,1457,3.653,$151.81
09/01/2009 12:00:00 AM,1353,3.653,$139.88
10/01/2009 12:00:00 AM,924,3.653,$90.66
11/01/2009 12:00:00 AM,682,3.653,$59.62
12/01/2009 12:00:00 AM,753,3.653,$66.49
01/01/2010 12:00:00 AM,997,3.653,$90.09
02/01/2010 12:00:00 AM,808,3.653,$71.81
03/01/2010 12:00:00 AM,807,3.653,$71.71
04/01/2010 12:00:00 AM,628,3.653,$54.40
05/01/2010 12:00:00 AM,707,3.653,$65.76
06/01/2010 12:00:00 AM,1098,3.653,$110.62
07/01/2010 12:00:00 AM,1321,3.653,$136.21
08/01/2010 12:00:00 AM,1336,3.653,$137.93
09/01/2010 12:00:00 AM,1411,3.653,$146.53
10/01/2010 12:00:00 AM,946,3.653,$93.18
11/01/2010 12:00:00 AM,696,3.653,$61.54
12/01/2010 12:00:00 AM,736,3.653,$65.45
01/01/2011 12:00:00 AM,862,3.105,$73.01
02/01/2011 12:00:00 AM,884,3.105,$75.04
03/01/2011 12:00:00 AM,701,3.105,$58.19
04/01/2011 12:00:00 AM,713,3.105,$59.30
05/01/2011 12:00:00 AM,901,3.105,$83.82
06/01/2011 12:00:00 AM,1213,3.105,$118.16
07/01/2011 12:00:00 AM,1481,3.105,$147.66
08/01/2011 12:00:00 AM,1527,3.105,$152.73
09/01/2011 12:00:00 AM,1565,3.105,$156.91
10/01/2011 12:00:00 AM,993,3.615,$93.95
11/01/2011 12:00:00 AM,732,3.615,$65.23
12/01/2011 12:00:00 AM,710,3.615,$63.08
01/01/2012 12:00:00 AM,882,3.615,$74.03
02/01/2012 12:00:00 AM,663,3.615,$58.48
03/01/2012 12:00:00 AM,683,3.615,$60.44
04/01/2012 12:00:00 AM,731,3.615,$65.13
05/01/2012 12:00:00 AM,865,3.615,$84.81
06/01/2012 12:00:00 AM,1175,3.615,$120.70
07/01/2012 12:00:00 AM,1304,3.615,$135.64
08/01/2012 12:00:00 AM,1380,3.615,$144.44
09/01/2012 12:00:00 AM,1281,3.372,$132.98
10/01/2012 12:00:00 AM,871,3.372,$80.31
11/01/2012 12:00:00 AM,735,3.375,$66.37
12/01/2012 12:00:00 AM,659,3.372,$58.57
01/01/2013 12:00:00 AM,903,3.372,$83.59
02/01/2013 12:00:00 AM,651,3.372,$57.76
03/01/2013 12:00:00 AM,617,3.372,$54.26
04/01/2013 12:00:00 AM,630,3.372,$55.60
05/01/2013 12:00:00 AM,733,3.372,$66.17
06/01/2013 12:00:00 AM,1071,3.372,$122.81
07/01/2013 12:00:00 AM,1281,3.372,$151.69
08/01/2013 12:00:00 AM,1382,3.372,$165.58
09/01/2013 12:00:00 AM,1295,3.372,$153.62
10/01/2013 12:00:00 AM,940,3.372,$87.39
11/01/2013 12:00:00 AM,666,3.709,$62.72
12/01/2013 12:00:00 AM,828,3.709,$80.15
01/01/2014 12:00:00 AM,954,3.709,$93.72
02/01/2014 12:00:00 AM,837,3.709,$81.13
03/01/2014 12:00:00 AM,693,3.709,$65.61
04/01/2014 12:00:00 AM,625,3.709,$58.30
05/01/2014 12:00:00 AM,726,3.709,$69.18
06/01/2014 12:00:00 AM,970,3.709,$114.23
07/01/2014 12:00:00 AM,1182,3.709,$144.15
08/01/2014 12:00:00 AM,1265,3.709,$156.00
09/01/2014 12:00:00 AM,1313,3.709,$162.84
10/01/2014 12:00:00 AM,883,3.709,$86.08
11/01/2014 12:00:00 AM,736,3.945,$72.76
12/01/2014 12:00:00 AM,674,3.945,$65.41
01/01/2015 12:00:00 AM,924,3.945,$93.01
02/01/2015 12:00:00 AM,703,3.945,$68.60
03/01/2015 12:00:00 AM,773,3.945,$76.34
04/01/2015 12:00:00 AM,643,3.945,$62.00
05/01/2015 12:00:00 AM,715,3.945,$69.93
06/01/2015 12:00:00 AM,916,3.945,$109.61
07/01/2015 12:00:00 AM,1164,3.945,$144.74
08/01/2015 12:00:00 AM,1356,3.945,$172.65
09/01/2015 12:00:00 AM,1247,3.945,$156.81
10/01/2015 12:00:00 AM,987,3.945,$99.97
11/01/2015 12:00:00 AM,673,3.139,$63.07
12/01/2015 12:00:00 AM,657,3.139,$61.34
01/01/2016 12:00:00 AM,788,3.139,$75.38
02/01/2016 12:00:00 AM,663,3.139,$61.99
03/01/2016 12:00:00 AM,602,3.139,$55.46
